,symbol,x,y,z,frame
150,O,-0.384730D+00,0.138528D+01,-0.953355D+00,0
151,H,0.183264D+02,-0.590255D+01,0.899390D+01,0
152,H,0.904526D+01,-0.189068D+02,0.152390D+02,0
153,O,-0.518906D+00,-0.427677D+01,0.638414D+01,0
154,H,-0.130859D+02,-0.136835D+02,0.309964D+02,0
155,H,-0.586570D+01,0.200325D+01,-0.122483D+02,0
156,O,-0.849909D+01,0.331563D+00,0.186832D+01,0
157,H,-0.616697D+01,0.615073D+00,0.108389D+02,0
158,H,0.149564D+02,-0.151417D+02,-0.114448D+02,0
159,O,-0.208435D+01,0.212424D+01,-0.527432D+01,0
160,H,0.163945D+02,0.189793D+02,0.280862D+01,0
161,H,-0.797067D+01,0.162137D+02,-0.258312D+02,0
162,O,-0.231811D+01,0.206113D+01,-0.191778D+01,0
163,H,0.331872D+01,-0.102528D+02,-0.164113D+02,0
164,H,-0.860408D+01,-0.922946D+00,0.939852D+01,0
165,O,0.532603D+01,0.739285D+01,-0.103842D+00,0
166,H,0.825620D+01,0.167858D+02,0.196937D+02,0
167,H,0.308173D+01,-0.107524D+02,-0.110000D+02,0
168,O,0.439927D+01,-0.691211D+01,0.572834D+01,0
169,H,-0.496397D+01,0.197399D+02,0.227979D+02,0
170,H,-0.795745D+01,0.659615D-01,0.309622D+01,0
171,O,0.175498D+01,-0.611763D+01,0.150529D+01,0
172,H,-0.244065D+02,-0.746124D+01,0.393428D+01,0
173,H,-0.121184D+02,-0.550001D-01,0.139340D+02,0
174,O,-0.503410D+01,-0.734723D+00,0.160481D+01,0
175,H,0.448827D+01,0.681849D+01,-0.134139D+01,0
176,H,-0.736085D+00,-0.237750D+01,-0.146382D+02,0
177,O,-0.115540D+01,0.293660D+01,-0.109327D+00,0
178,H,-0.352865D+01,-0.784073D+01,0.142226D+01,0
179,H,0.502677D+01,0.103175D+02,-0.701636D+01,0
180,O,0.255067D+01,-0.653373D+01,-0.513080D+01,0
181,H,0.217545D+02,0.321608D+01,-0.147415D+01,0
182,H,-0.165445D+02,0.365657D+02,0.111504D+01,0
183,O,0.297168D+00,-0.532465D+01,0.379059D+01,0
184,H,0.103111D+02,0.297026D+01,-0.265434D+02,0
