two,dx,dy,dz,dr,atom0,atom1,projection,bond,molecule_label0,molecule_label1
167080,-0.7370527010229999,-1.7712168782741102,-2.2128329103091993,2.92866614739814,586240,586241,13,False,1.0,1.0
167125,-0.7908377799217003,2.648083404405,-1.2550517572380002,3.0352800569606178,586242,586243,13,False,2.0,2.0
168415,0.7511677979730003,0.008377940067301637,1.8904565465104994,2.0342441359964103,586368,586432,13,True,1.0,1.0
168416,0.030037507049001988,-1.8022889982219183,-0.4397206102267006,1.8553980974442188,586368,586433,13,True,1.0,1.0
168453,-0.5145207374535996,-1.7024416797059985,0.4102722798439995,1.8252020725602878,586369,586434,13,True,2.0,2.0
168454,-1.3074865767243002,0.9863048008150024,-0.9000797289989997,1.868812945957905,586369,586435,13,True,2.0,2.0
170125,-0.7211302909239983,-1.81066693828922,-2.3301771567372,3.03780664948934,586432,586433,13,False,1.0,1.0
170171,-0.7929658392707006,2.688746480521001,-1.3103520088429992,3.0943779416618193,586434,586435,13,False,2.0,2.0
171453,0.7077632378550014,0.024794207973197757,1.9046873093954,2.0320869322398347,586560,586624,13,True,1.0,1.0
171454,0.027472842564002065,-1.8205559486895417,-0.5024120079297001,1.888808234072315,586560,586625,13,True,1.0,1.0
171492,-0.5603453728573005,-1.7381789387289999,0.46579406172300075,1.884732625032015,586561,586626,13,True,2.0,2.0
171493,-1.3524158940532,0.9989827916120007,-0.8773717855619996,1.8965169702707312,586561,586627,13,True,2.0,2.0
173168,-0.6802903952909993,-1.8453501566627395,-2.4070993173251,3.108414281605228,586624,586625,13,False,1.0,1.0
173214,-0.7920705211958996,2.7371617303410005,-1.3431658472850003,3.150162621501264,586626,586627,13,False,2.0,2.0
174495,0.641422390879999,0.04424834997460181,1.8770529660235002,1.984114018209465,586752,586816,13,True,1.0,1.0
174496,0.02426757592500195,-1.8016195358568083,-0.5573911469414004,1.88602936295033,586752,586817,13,True,1.0,1.0
174533,-0.6118239292702006,-1.7596290002380002,0.5088204136950001,1.9311967668518302,586753,586818,13,True,2.0,2.0
174534,-1.3995533004735998,0.9881404732480021,-0.8274201449829999,1.9025759201832184,586753,586819,13,True,2.0,2.0
176213,-0.617154814954997,-1.8458678858314101,-2.4344441129649006,3.116829552079375,586816,586817,13,False,1.0,1.0
176258,-0.7877293712033993,2.7477694734860023,-1.336240558678,3.1553594838519015,586818,586819,13,False,2.0,2.0
177525,0.5628378190679975,0.05993709058060048,1.8256216371788998,1.9113537682847341,586944,587008,13,True,1.0,1.0
177526,0.022341245554997613,-1.7478483966811496,-0.5973542092750002,1.84724259380634,586944,587009,13,True,1.0,1.0
177563,-0.6539921729740001,-1.7412521185250007,0.5328044993989991,1.934824368556194,586945,587010,13,True,2.0,2.0
177564,-1.4406584654926,0.9576833175779988,-0.7510893252660011,1.8859452074467147,586945,587011,13,True,2.0,2.0
179240,-0.5404965735129998,-1.80778548726175,-2.4229758464539,3.0709993269996803,587008,587009,13,False,1.0,1.0
179285,-0.7866662925185999,2.6989354361029996,-1.2838938246650002,3.090546828160086,587010,587011,13,False,2.0,2.0
180560,0.48525050771399947,0.06510546455010058,1.7814421174310002,1.8474963584559576,587136,587200,13,True,1.0,1.0
180561,0.02371052426800091,-1.6881571807399496,-0.6242496229948999,1.800034568460893,587136,587201,13,True,1.0,1.0
180598,-0.6786804459210005,-1.683897817534998,0.5385492139110006,1.8937144091385094,587137,587202,13,True,2.0,2.0
180599,-1.4769952524925003,0.9200303813340014,-0.6566917947590003,1.8598965002834889,587137,587203,13,True,2.0,2.0
182280,-0.46153998344599856,-1.7532626452900502,-2.4056917404259,3.0123581808347746,587200,587201,13,False,1.0,1.0
182325,-0.7983148065714998,2.6039281988689993,-1.195241008670001,2.9742813693500696,587202,587203,13,False,2.0,2.0
183609,0.4200336251770018,0.05498081783740005,1.777635704463,1.8274134273313936,587328,587392,13,True,1.0,1.0
183610,0.030474741457002352,-1.66056987324205,-0.6466348636242998,1.7822900046402117,587328,587393,13,True,1.0,1.0
183646,-0.6863301934571,-1.6144467188849987,0.5354120001620011,1.8341628478646255,587329,587394,13,True,2.0,2.0
183647,-1.5156892534710993,0.8914197230410004,-0.555919653786999,1.8441772412598874,587329,587395,13,True,2.0,2.0
185324,-0.38955888371999947,-1.71555069107945,-2.4242705680873,2.995322701286569,587392,587393,13,False,1.0,1.0
185369,-0.8293590600139993,2.505866441925999,-1.0913316539490001,2.8562576659169303,587394,587395,13,False,2.0,2.0
186664,0.36914767228000045,0.027136761468202764,1.8235866679111004,1.8607726199500665,587520,587584,13,True,1.0,1.0
186665,0.043500403865998294,-1.680241236736478,-0.6693254179294996,1.8091709189163785,587520,587585,13,True,1.0,1.0
186701,-0.6846433744707001,-1.5757722628219994,0.5379893979580004,1.800340902940608,587521,587586,13,True,2.0,2.0
186702,-1.5605932476182005,0.8841470998830019,-0.45751627753699964,1.8510776652950998,587521,587587,13,True,2.0,2.0
188382,-0.32564726841400216,-1.7073779982046808,-2.4929120858406,3.039045317185819,587584,587585,13,False,1.0,1.0
